nm,VNIR_B1,VNIR_B2,VNIR_B3N,VNIR_B3B,SWIR_B4,SWIR_B5,SWIR_B6,SWIR_B7,SWIR_B8,SWIR_B9
1695,0.0,0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.0,0.0
1698,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
1700,0.0,0.0,0.0,0.0,0.597,0.0,0.0,0.0,0.0,0.0
1702,0.0,0.0,0.0,0.0,0.461,0.0,0.0,0.0,0.0,0.0
1705,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0
1708,0.0,0.0,0.0,0.0,0.263,0.0,0.0,0.0,0.0,0.0
1710,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0
1720,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0
1730,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0
1740,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
1750,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
1768,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
1816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2120,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0
2130,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
2132,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0
2135,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0
2138,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0
2140,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0
2142,0.0,0.0,0.0,0.0,0.0,0.205,0.0,0.0,0.0,0.0
2145,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,0.0
2148,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0,0.0,0.0
2150,0.0,0.0,0.0,0.0,0.0,0.705,0.008,0.0,0.0,0.0
2152,0.0,0.0,0.0,0.0,0.0,0.779,0.0,0.0,0.0,0.0
2155,0.0,0.0,0.0,0.0,0.0,0.791,0.0,0.0,0.0,0.0
2158,0.0,0.0,0.0,0.0,0.0,0.803,0.0,0.0,0.0,0.0
2160,0.0,0.0,0.0,0.0,0.0,0.822,0.016,0.0,0.0,0.0
2162,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0
2165,0.0,0.0,0.0,0.0,0.0,0.918,0.0,0.0,0.0,0.0
2168,0.0,0.0,0.0,0.0,0.0,0.959,0.0,0.0,0.0,0.0
2170,0.0,0.0,0.0,0.0,0.0,1.0,0.037,0.0,0.0,0.0
2172,0.0,0.0,0.0,0.0,0.0,0.975,0.049,0.0,0.0,0.0
2175,0.0,0.0,0.0,0.0,0.0,0.902,0.066,0.0,0.0,0.0
2178,0.0,0.0,0.0,0.0,0.0,0.779,0.107,0.0,0.0,0.0
2180,0.0,0.0,0.0,0.0,0.0,0.689,0.172,0.0,0.0,0.0
2182,0.0,0.0,0.0,0.0,0.0,0.59,0.254,0.0,0.0,0.0
2185,0.0,0.0,0.0,0.0,0.0,0.418,0.352,0.0,0.0,0.0
2188,0.0,0.0,0.0,0.0,0.0,0.303,0.5,0.0,0.0,0.0
2190,0.0,0.0,0.0,0.0,0.0,0.23,0.602,0.0,0.0,0.0
2192,0.0,0.0,0.0,0.0,0.0,0.172,0.742,0.0,0.0,0.0
2195,0.0,0.0,0.0,0.0,0.0,0.107,0.762,0.0,0.0,0.0
2198,0.0,0.0,0.0,0.0,0.0,0.07,0.779,0.0,0.0,0.0
2200,0.0,0.0,0.0,0.0,0.0,0.061,0.852,0.0,0.0,0.0
2202,0.0,0.0,0.0,0.0,0.0,0.0498,0.869,0.0,0.0,0.0
2205,0.0,0.0,0.0,0.0,0.0,0.0385,0.886,0.0,0.0,0.0
2208,0.0,0.0,0.0,0.0,0.0,0.0273,0.902,0.0,0.0,0.0
2210,0.0,0.0,0.0,0.0,0.0,0.016,0.929,0.008,0.0,0.0
2212,0.0,0.0,0.0,0.0,0.0,0.014,0.955,0.0,0.0,0.0
2215,0.0,0.0,0.0,0.0,0.0,0.012,0.984,0.0,0.0,0.0
2218,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0
2220,0.0,0.0,0.0,0.0,0.0,0.008,0.934,0.025,0.0,0.0
2222,0.0,0.0,0.0,0.0,0.0,0.007,0.82,0.033,0.0,0.0
2225,0.0,0.0,0.0,0.0,0.0,0.006,0.754,0.049,0.0,0.0
2228,0.0,0.0,0.0,0.0,0.0,0.005,0.516,0.07,0.0,0.0
2230,0.0,0.0,0.0,0.0,0.0,0.004,0.328,0.115,0.0,0.0
2232,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.176,0.0,0.0
2234,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0
2235,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.25,0.0,0.0
2238,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.385,0.0,0.0
2239,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0
2240,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.508,0.0,0.0
2242,0.0,0.0,0.0,0.0,0.0,0.0,0.0468,0.656,0.0,0.0
2244,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
2245,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.795,0.0,0.0
2248,0.0,0.0,0.0,0.0,0.0,0.0027,0.0263,0.869,0.0001,0.0
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.848,0.0,0.0
2252,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.91,0.0,0.0
2255,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.91,0.0,0.0
2258,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.926,0.0,0.0
2260,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.926,0.012,0.0
2262,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.943,0.0,0.0
2265,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.959,0.0,0.0
2268,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.975,0.0,0.0
2270,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.975,0.016,0.0
2272,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,1.0,0.0,0.0
2275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959,0.0,0.0
2276,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
2278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869,0.0,0.0
2280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799,0.045,0.0
2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705,0.061,0.0
2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0
2284,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0
2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,0.082,0.0
2288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.106,0.0
2290,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.393,0.139,0.0
2292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.204,0.0
2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.286,0.0
2296,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0001
2298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.449,0.0
