nm,Green,Red,NIR1,NIR2
1048,0.0,0.0,0.0,0.382
1049,0.0,0.0,0.0,0.378
1050,0.0,0.0,0.0,0.37433333
1051,0.0,0.0,0.0,0.36916667
1052,0.0,0.0,0.0,0.36216667
1053,0.0,0.0,0.0,0.35816667
1054,0.0,0.0,0.0,0.35233333
1055,0.0,0.0,0.0,0.34716667
1056,0.0,0.0,0.0,0.34233333
1057,0.0,0.0,0.0,0.33833333
1058,0.0,0.0,0.0,0.33283333
1059,0.0,0.0,0.0,0.33
1060,0.0,0.0,0.0,0.3275
1061,0.0,0.0,0.0,0.32266667
1062,0.0,0.0,0.0,0.31983333
1063,0.0,0.0,0.0,0.31516667
1064,0.0,0.0,0.0,0.31233333
1065,0.0,0.0,0.0,0.309
1066,0.0,0.0,0.0,0.30566667
1067,0.0,0.0,0.0,0.30266667
1068,0.0,0.0,0.0,0.29966667
1069,0.0,0.0,0.0,0.29733333
1070,0.0,0.0,0.0,0.295
1071,0.0,0.0,0.0,0.292
1072,0.0,0.0,0.0,0.289
1073,0.0,0.0,0.0,0.28666667
1074,0.0,0.0,0.0,0.28416667
1075,0.0,0.0,0.0,0.281
1076,0.0,0.0,0.0,0.27733333
1077,0.0,0.0,0.0,0.2745
1078,0.0,0.0,0.0,0.27116667
1079,0.0,0.0,0.0,0.26883333
1080,0.0,0.0,0.0,0.26366667
1081,0.0,0.0,0.0,0.25966667
1082,0.0,0.0,0.0,0.25516667
1083,0.0,0.0,0.0,0.2485
1084,0.0,0.0,0.0,0.245
1085,0.0,0.0,0.0,0.24166667
1086,0.0,0.0,0.0,0.23783333
1087,0.0,0.0,0.0,0.23433333
1088,0.0,0.0,0.0,0.2305
1089,0.0,0.0,0.0,0.22716667
1090,0.0,0.0,0.0,0.2225
1091,0.0,0.0,0.0,0.21766667
1092,0.0,0.0,0.0,0.2135
1093,0.0,0.0,0.0,0.20816667
1094,0.0,0.0,0.0,0.15683333
1095,0.0,0.0,0.0,0.1235
1096,0.0,0.0,0.0,0.0935
1097,0.0,0.0,0.0,0.06266667
1098,0.0,0.0,0.0,0.0672
1099,0.0,0.0,0.0,0.0495
1100,0.0,0.0,0.0,0.0
1101,0.0,0.0,0.0,0.0
