nm,Band_1p,Band_1,Band_2,Band_3,Band_4,Band_4p,Band_5p,Band_5,Band_7,Pan
689,0.0,0.0,0.0,0.50773,0.0,0.0,0.0,0.0,0.0,0.0059
690,0.0,0.0,0.0,0.35971,0.0,0.0,0.0,0.0,0.0,0.00488
691,0.0,0.0,0.0,0.24415,0.0,0.0,0.0,0.0,0.0,0.00419
692,0.0,0.0,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.00359
693,0.0,0.0,0.0,0.1075,0.0,0.0,0.0,0.0,0.0,0.00321
694,0.0,0.0,0.0,0.07135,0.0,0.0,0.0,0.0,0.0,0.00301
695,0.0,0.0,0.0,0.04828,0.0,0.0,0.0,0.0,0.0,0.00266
696,0.0,0.0,0.0,0.03305,0.0,0.0,0.0,0.0,0.0,0.00245
697,0.0,0.0,0.0,0.02307,0.0,0.0,0.0,0.0,0.0,0.00237
698,0.0,0.0,0.0,0.01653,0.0,0.0,0.0,0.0,0.0,0.00226
699,0.0,0.0,0.0,0.01183,0.0,0.0,0.0,0.0,0.0,0.00203
700,0.0,0.0,0.0,0.00889,0.0,0.0,0.0,0.0,0.0,0.00194
701,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.00169
702,0.0,0.0,0.0,0.00503,0.0,0.0,0.0,0.0,0.0,0.00146
703,0.0,0.0,0.0,0.00392,0.0,0.0,0.0,0.0,0.0,0.00121
704,0.0,0.0,0.0,0.00308,0.0,0.0,0.0,0.0,0.0,0.00094
705,0.0,0.0,0.0,0.00245,0.0,0.0,0.0,0.0,0.0,0.00067
706,0.0,0.0,0.0,0.00192,0.0,0.0,0.0,0.0,0.0,0.00048
707,0.0,0.0,0.0,0.00161,0.0,0.0,0.0,0.0,0.0,0.00029
708,0.0,0.0,0.0,0.00125,0.0,0.0,0.0,0.0,0.0,0.00022
709,0.0,0.0,0.0,0.00103,0.0,0.0,0.0,0.0,0.0,0.00012
710,0.0,0.0,0.0,0.00082,0.0,0.0,0.0,0.0,0.0,4e-05
711,0.0,0.0,0.0,0.00071,0.0,0.0,0.0,0.0,0.0,3e-05
712,0.0,0.0,0.0,0.00063,0.0,0.0,0.0,0.0,0.0,0.0
713,0.0,0.0,0.0,0.00053,0.0,0.0,0.0,0.0,0.0,0.0
714,0.0,0.0,0.0,0.00043,0.0,0.0,0.0,0.0,0.0,0.0
715,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,0.0
716,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0
717,0.0,0.0,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0
718,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
719,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0
720,0.0,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0
721,0.0,0.0,0.0,0.00015,0.0,0.0,0.0,0.0,0.0,0.0
722,0.0,0.0,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0
723,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
