WL_nm,CoastalBlue,Blue,Green_i,Green_ii,Yellow,Red,RedEdge,NIR
572,0.0000,0.0007,0.0000,0.9806,0.0000,0.0000,0.0000,0.0000
573,0.0000,0.0007,0.0000,0.9795,0.0000,0.0000,0.0000,0.0000
574,0.0000,0.0007,0.0000,0.9758,0.0000,0.0000,0.0000,0.0000
575,0.0000,0.0007,0.0000,0.9781,0.0000,0.0000,0.0000,0.0000
576,0.0000,0.0007,0.0000,0.9786,0.0000,0.0000,0.0000,0.0000
577,0.0000,0.0007,0.0000,0.9767,0.0000,0.0000,0.0000,0.0000
578,0.0000,0.0007,0.0000,0.9751,0.0000,0.0000,0.0000,0.0000
579,0.0000,0.0007,0.0000,0.9747,0.0000,0.0000,0.0000,0.0000
580,0.0000,0.0007,0.0000,0.9783,0.0000,0.0000,0.0000,0.0000
581,0.0000,0.0007,0.0000,0.9721,0.0000,0.0000,0.0000,0.0000
582,0.0000,0.0007,0.0000,0.9726,0.0000,0.0000,0.0000,0.0000
583,0.0000,0.0007,0.0000,0.9733,0.0000,0.0000,0.0000,0.0000
584,0.0000,0.0007,0.0000,0.9677,0.0000,0.0000,0.0000,0.0000
585,0.0000,0.0007,0.0000,0.8643,0.0000,0.0000,0.0000,0.0000
586,0.0000,0.0007,0.0000,0.2982,0.0000,0.0000,0.0000,0.0000
587,0.0000,0.0007,0.0000,0.0396,0.0000,0.0000,0.0000,0.0000
588,0.0000,0.0007,0.0000,0.0058,0.0000,0.0000,0.0000,0.0000
589,0.0000,0.0007,0.0000,0.0023,0.0000,0.0000,0.0000,0.0000
590,0.0000,0.0007,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000
591,0.0000,0.0007,0.0000,0.0014,0.0000,0.0000,0.0000,0.0000
592,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
593,0.0000,0.0007,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000
594,0.0000,0.0007,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000
595,0.0000,0.0007,0.0000,0.0007,0.0023,0.0000,0.0000,0.0000
596,0.0000,0.0007,0.0000,0.0018,0.0088,0.0000,0.0000,0.0000
597,0.0000,0.0007,0.0000,0.0000,0.0368,0.0000,0.0000,0.0000
598,0.0000,0.0007,0.0000,0.0000,0.1226,0.0000,0.0000,0.0000
